0 12.0382   Pos:618
1 16.7118   Pos:1466
2 11.1997   Pos:1745
3 15.9826   Pos:1988
4 10.7569   Pos:2337
5 -9.84896   Pos:2626
6 -10.2812   Pos:2922
7 -11.2726   Pos:3207
8 12.5365   Pos:3498
9 8.54514   Pos:3794
10 -7.45486   Pos:4086
11 8.11111   Pos:4401
12 12.6198   Pos:4701
13 11.5382   Pos:4997
14 -8.9375   Pos:5265
15 9.46181   Pos:5578
16 10.0642   Pos:5856
17 -12.0295   Pos:6131
18 14.1163   Pos:6473
19 11.2726   Pos:6768
20 11.434   Pos:7040
21 -9.02604   Pos:7309
22 10.1962   Pos:7607
23 -10.1788   Pos:7871
24 14.6354   Pos:8195
25 14.684   Pos:8490
26 -10.7882   Pos:8756
27 11.0694   Pos:9078
28 -9.84201   Pos:9351
29 15.3663   Pos:9663
