0 -16.5347   Pos:58
1 305.281   Pos:370
2 290.085   Pos:662
3 282.155   Pos:946
4 261.194   Pos:1231
5 274.092   Pos:1515
6 294.832   Pos:1809
7 283.311   Pos:2044
8 295.955   Pos:2403
9 286.406   Pos:2706
10 279.061   Pos:2997
11 262.918   Pos:3282
12 259.993   Pos:3559
13 288.457   Pos:3862
14 284.932   Pos:4170
15 263.451   Pos:4466
16 278.969   Pos:4764
17 285.198   Pos:5060
18 262.752   Pos:5346
19 312.116   Pos:5633
20 283.155   Pos:5918
21 305.323   Pos:6214
22 281.358   Pos:6527
23 282.194   Pos:6823
24 287.778   Pos:7106
25 321.351   Pos:7391
26 276.045   Pos:7669
27 285.585   Pos:7953
28 304.804   Pos:8246
29 288.969   Pos:8539
30 277.858   Pos:8837
31 297.689   Pos:9141
32 348.979   Pos:9431
33 279.422   Pos:9710
