0 -8.11285   Pos:183
1 -2.38715   Pos:819
2 7.92361   Pos:1061
3 10.1337   Pos:1633
4 8.77778   Pos:1932
5 6.43229   Pos:2170
6 -12.1632   Pos:2513
7 5.90625   Pos:2833
8 8.125   Pos:3117
9 7.38368   Pos:3403
10 7.07292   Pos:3681
11 6.13021   Pos:3977
12 6.73785   Pos:4290
13 9.15278   Pos:4587
14 5.88021   Pos:4892
15 8.60417   Pos:5174
16 6.77257   Pos:5478
17 10.2083   Pos:5749
18 7.00347   Pos:6034
19 -8.77257   Pos:6325
20 9.55729   Pos:6652
21 7.36458   Pos:6939
22 5.20486   Pos:7236
23 4.75521   Pos:7537
24 7.45833   Pos:7784
25 7.1059   Pos:8073
26 6.38715   Pos:8367
27 10.1667   Pos:8657
28 -9.09201   Pos:8947
29 9.11806   Pos:9259
30 7.85764   Pos:9553
31 5.78646   Pos:9841
